Food_items,Calories,Total fat (g),Sat Fat (g),Trans fat (g),Cholesterols (mg),Sodium (mg),Carbohydrate (g),Sugars (g),Fiber(g),Protein (g),Category
Large Fries,449 ,21 ,10 ,0 ,2 ,306 ,54 ,1 ,1 ,7 ,Fastfood
Large Sprite,237 ,0 ,0 ,0 ,0 ,4 ,59 ,59 ,0 ,0 ,Fastfood
Large Thums-up,198 ,0 ,0 ,0 ,0 ,50 ,49 ,49 ,0 ,0 ,Fastfood
Large Wedges,388 ,14 ,6 ,0 ,2 ,675 ,54 ,1 ,1 ,8 ,Fastfood
Latte,180 ,10 ,8 ,0 ,32 ,134 ,17 ,13 ,0 ,9 ,Beverages
Latte (L),232 ,13 ,9 ,0 ,39 ,165 ,21 ,15 ,0 ,11 ,Fastfood
Latte (R),190 ,10 ,8 ,0 ,32 ,134 ,17 ,13 ,0 ,9 ,Fastfood
Latte (S),148 ,8 ,6 ,0 ,25 ,108 ,13 ,10 ,0 ,7 ,Fastfood
Lemon Ice Tea,122 ,0 ,0 ,0 ,2 ,10 ,31 ,27 ,0 ,0 ,Fastfood
Lettuce,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,Fastfood
Lettuce,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,Fastfood
Lettuce Wrap,5 ,0 ,0 ,0 ,0 ,15 ,1 ,1 ,0 ,1 ,Fastfood
Light Mayonnaise,50 ,5 ,1 ,0 ,5 ,100 ,1 ,0 ,0 ,0 ,Fastfood
Link Burger,680 ,46 ,18 ,1 ,140 ,2010 ,27 ,0 ,6 ,39 ,Fastfood
"Link Burger, Double",930 ,64 ,26 ,2 ,220 ,3040 ,28 ,0 ,6 ,61 ,Fastfood
"Link Burger, Triple",1190 ,82 ,34 ,3 ,305 ,4070 ,28 ,0 ,7 ,83 ,Fastfood
Loaded Chocolate Cookies & Cream Shake,1160 ,56 ,32 ,2 ,265 ,450 ,126 ,0 ,108 ,17 ,Fastfood
Lockhart Link Burger,780 ,56 ,21 ,1 ,155 ,2050 ,27 ,0 ,5 ,39 ,Fastfood
"Lockhart Link Burger, Double",1040 ,74 ,29 ,2 ,235 ,3080 ,28 ,0 ,5 ,61 ,Fastfood
"Lockhart Link Burger, Triple",1300 ,92 ,38 ,3 ,320 ,4110 ,29 ,0 ,6 ,83 ,Fastfood
Low Fat Milk,110 ,2 ,1 ,0 ,10 ,125 ,14 ,0 ,14 ,10 ,Dairy products
Malt,90 ,1 ,1 ,0 ,5 ,70 ,19 ,0 ,16 ,2 ,Fastfood
Mango Smoothie,231 ,4 ,3 ,0 ,10 ,85 ,46 ,39 ,0 ,3 ,Fastfood
mango yogurt,160 ,2 ,1 ,0 ,9 ,123 ,26 ,10 ,2 ,9 ,Dairy products
Maple Syrup,86 ,0 ,0 ,0 ,0 ,15 ,22 ,16 ,0 ,0 ,Fastfood
Martin's Potato Roll,180 ,6 ,3 ,0 ,10 ,170 ,24 ,0 ,5 ,7 ,Fastfood
Mc chicken Burger,401 ,16 ,5 ,0 ,31 ,766 ,48 ,6 ,2 ,16 ,Fastfood
Mc Egg Burger for Happy Meal,283 ,12 ,4 ,0 ,213 ,399 ,31 ,5 ,0 ,12 ,Fastfood
Mc Egg Masala Burger,290 ,12 ,4 ,0 ,213 ,758 ,33 ,5 ,0 ,12 ,Fastfood
Mc Spicy Chicken Burger,452 ,19 ,8 ,0 ,66 ,929 ,46 ,6 ,2 ,21 ,Fastfood
McAloo Tikki Burger®,340 ,11 ,4 ,0 ,1 ,545 ,50 ,7 ,2 ,9 ,Fastfood
McSpicy Fried Chicken 1 pc,249 ,14 ,3 ,0 ,31 ,874 ,13 ,1 ,0 ,17 ,Fastfood
McSpicy Premium Chicken Burger,622 ,35 ,16 ,0 ,303 ,1615 ,44 ,6 ,0 ,31 ,Fastfood
McSpicy Premium Veg Burger,635 ,39 ,20 ,0 ,44 ,1447 ,46 ,8 ,0 ,22 ,Fastfood
McSpicy™ Paneer Burger,653 ,39 ,17 ,0 ,22 ,1075 ,52 ,8 ,4 ,20 ,Fastfood
McSwirl ChocoDip,160 ,7 ,5 ,0 ,6 ,51 ,21 ,15 ,0 ,3 ,Fastfood
McVeggie™ Burger,402 ,14 ,5 ,0 ,2 ,706 ,57 ,8 ,5 ,10 ,Fastfood
Meatball Marinara,420 ,18 ,7 ,1 ,40 ,1040 ,47 ,4 ,7 ,19 ,Fastfood
Meatball Marinara,770 ,39 ,16 ,2 ,75 ,2160 ,75 ,8 ,10 ,34 ,Fastfood
Meatball Marinara,520 ,32 ,13 ,2 ,80 ,1520 ,33 ,8 ,14 ,28 ,Fastfood
Meatball Marinara,290 ,16 ,6 ,1 ,40 ,780 ,22 ,7 ,9 ,15 ,Fastfood
Medium Blackforest,430 ,10 ,6 ,0 ,9 ,188 ,79 ,48 ,0 ,5 ,Fastfood
Medium Coca-Cola,151 ,0 ,0 ,0 ,0 ,29 ,38 ,38 ,0 ,0 ,Fastfood
Medium Fanta Orange,179 ,0 ,0 ,0 ,0 ,77 ,45 ,45 ,0 ,0 ,Fastfood
Medium Fries,318 ,15 ,7 ,0 ,1 ,217 ,38 ,1 ,1 ,5 ,Fastfood
Medium Soft Serve: Brownie with Hot Fudge,311 ,7 ,5 ,0 ,8 ,146 ,55 ,28 ,0 ,5 ,Fastfood
Medium Soft Serve: Hot Fudge,197 ,7 ,5 ,0 ,9 ,110 ,30 ,27 ,0 ,3 ,Fastfood
Medium Soft Serve: Strawberry,156 ,2 ,2 ,0 ,7 ,48 ,32 ,28 ,0 ,2 ,Fastfood
Medium Sprite,165 ,0 ,0 ,0 ,0 ,3 ,41 ,41 ,0 ,0 ,Fastfood
Medium Thums-up,138 ,0 ,0 ,0 ,0 ,35 ,34 ,34 ,0 ,0 ,Fastfood
Medium Wedges,280 ,10 ,5 ,0 ,1 ,488 ,39 ,1 ,1 ,5 ,Fastfood
"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",61 ,3 ,3 ,0 ,0 ,78 ,6 ,,0 ,2 ,Dairy products
Mini 9-Grain Wheat,120 ,1 ,0 ,0 ,0 ,180 ,24 ,3 ,2 ,5 ,Fastfood
Mini Italian,130 ,2 ,0 ,0 ,0 ,230 ,25 ,1 ,2 ,5 ,Fastfood
Mist TWST Large,220 ,0 ,0 ,0 ,0 ,50 ,58 ,0 ,58 ,0 ,Fastfood
Mist TWST Small,140 ,0 ,0 ,0 ,0 ,35 ,39 ,0 ,39 ,0 ,Fastfood
Mix Berry Cooler,104 ,0 ,0 ,0 ,0 ,24 ,26 ,21 ,0 ,0 ,Fastfood
Mixed Berry Smoothie,235 ,4 ,3 ,0 ,10 ,92 ,47 ,43 ,0 ,3 ,Fastfood
Mixed Fruit Beverage,72 ,0 ,0 ,0 ,0 ,11 ,18 ,17 ,0 ,1 ,Fastfood
Mocha,244 ,10 ,7 ,0 ,30 ,168 ,32 ,24 ,0 ,9 ,Beverages
Mocha (L),302 ,12 ,9 ,0 ,36 ,209 ,40 ,30 ,0 ,11 ,Fastfood
Mocha (R),244 ,10 ,7 ,0 ,30 ,168 ,32 ,24 ,0 ,9 ,Fastfood
Mocha (S),186 ,8 ,6 ,0 ,24 ,133 ,23 ,18 ,0 ,7 ,Fastfood
Mocha Frappe,398 ,15 ,14 ,0 ,9 ,233 ,61 ,48 ,0 ,5 ,Fastfood
Monterey Cheddar,220 ,5 ,3 ,0 ,10 ,370 ,34 ,1 ,3 ,9 ,Fastfood
Monterey Cheddar,50 ,5 ,3 ,0 ,15 ,90 ,0 ,0 ,0 ,3 ,Fastfood
Montlake Double Cut,980 ,68 ,31 ,2 ,240 ,2470 ,36 ,0 ,5 ,54 ,Fastfood
Montlake Single Cut,670 ,45 ,19 ,1 ,150 ,1560 ,36 ,0 ,5 ,29 ,Fastfood
Moroccon Mint Green Tea (L),10 ,0 ,0 ,0 ,5 ,24 ,5 ,2 ,0 ,1 ,Fastfood
Moroccon Mint Green Tea (R),7 ,0 ,0 ,0 ,3 ,18 ,3 ,2 ,0 ,0 ,Fastfood
Moroccon Mint Green Tea (S),6 ,0 ,0 ,0 ,3 ,15 ,3 ,1 ,0 ,0 ,Fastfood
Mound City Double,780 ,48 ,20 ,2 ,185 ,2380 ,26 ,0 ,6 ,56 ,Fastfood
Mountain Dew Large,260 ,0 ,0 ,0 ,0 ,95 ,69 ,0 ,69 ,0 ,Fastfood
Mountain Dew Small,170 ,0 ,0 ,0 ,0 ,65 ,46 ,0 ,46 ,0 ,Fastfood
Mustard diping sauce,81 ,6 ,2 ,0 ,0 ,221 ,7 ,7 ,0 ,1 ,Fastfood
NEW Caprese,510 ,19 ,8 ,0 ,35 ,590 ,60 ,3 ,5 ,21 ,Fastfood
NEW Cauliflower Fritter Curry Signature Wrap,790 ,31 ,7 ,0 ,5 ,2540 ,113 ,7 ,4 ,15 ,Fastfood
NEW Chicken Pesto,590 ,21 ,9 ,0 ,85 ,800 ,61 ,3 ,5 ,37 ,Fastfood
NEW Classic Italian,700 ,36 ,16 ,1 ,95 ,1440 ,62 ,3 ,5 ,31 ,Fastfood
New Ham  Jack Slider,150 ,5 ,2 ,0 ,20 ,470 ,18 ,1 ,1 ,8 ,Fastfood
New Italian Spice Slider,230 ,14 ,5 ,0 ,30 ,690 ,18 ,1 ,2 ,8 ,Fastfood
New Little Cheesesteak Slider,170 ,7 ,2 ,0 ,15 ,430 ,19 ,1 ,2 ,7 ,Fastfood
New Little Turkey Slider,200 ,9 ,3 ,0 ,25 ,510 ,17 ,1 ,1 ,9 ,Fastfood
New Southwest Chicken Club,550 ,27 ,9 ,0 ,95 ,1230 ,43 ,5 ,7 ,34 ,Fastfood
New Steak Club,490 ,25 ,7 ,0 ,70 ,1350 ,40 ,2 ,6 ,27 ,Fastfood
NEW Ultimate Steak,600 ,35 ,14 ,1 ,80 ,1330 ,42 ,3 ,6 ,31 ,Fastfood
Oatmeal,150 ,3 ,2 ,0 ,10 ,6 ,26 ,5 ,7 ,5 ,Fastfood
Oil,45 ,5 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,Fastfood
Onion,5 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,Fastfood
orange,47 ,0 ,0 ,0 ,0 ,4 ,11 ,9 ,0 ,1 ,Fruits
Orange Juice,165 ,0 ,0 ,0 ,0 ,12 ,41 ,2 ,30 ,3 ,Fastfood
original yogurt,86 ,1 ,1 ,0 ,5 ,66 ,14 ,5 ,0 ,5 ,Dairy products
Oven Roasted Chicken,270 ,5 ,2 ,0 ,45 ,540 ,41 ,5 ,8 ,21 ,Fastfood
Oven Roasted Chicken,470 ,13 ,5 ,0 ,90 ,1390 ,55 ,4 ,5 ,35 ,Fastfood
Oven Roasted Chicken,200 ,6 ,2 ,0 ,90 ,660 ,11 ,3 ,6 ,27 ,Fastfood
Oven Roasted Chicken,130 ,4 ,1 ,0 ,45 ,370 ,11 ,4 ,6 ,16 ,Fastfood
Pancakes,250 ,9 ,0 ,0 ,10 ,8 ,28 ,0 ,7 ,7 ,Fastfood
Paneer Tikka,570 ,30 ,16 ,1 ,70 ,720 ,48 ,3 ,7 ,29 ,Fastfood
Parmesan Cheese,5 ,0 ,0 ,0 ,0 ,25 ,0 ,0 ,0 ,1 ,Fastfood
Parmesan Oregano,190 ,3 ,0 ,0 ,0 ,460 ,37 ,2 ,3 ,7 ,Fastfood
Pepperjack,50 ,4 ,3 ,0 ,15 ,140 ,0 ,0 ,0 ,2 ,Fastfood
Pepperoni,80 ,7 ,3 ,0 ,20 ,290 ,1 ,0 ,0 ,3 ,Fastfood
Pepsi Large,220 ,0 ,0 ,0 ,0 ,50 ,62 ,0 ,62 ,0 ,Fastfood
Pepsi Small,150 ,0 ,0 ,0 ,0 ,35 ,41 ,0 ,41 ,0 ,Fastfood
PepsiMAX Large,0 ,0 ,0 ,0 ,0 ,60 ,0 ,0 ,0 ,0 ,Fastfood
PepsiMAX Small,0 ,0 ,0 ,0 ,0 ,40 ,0 ,0 ,0 ,0 ,Fastfood
Pickle,1 ,0 ,0 ,0 ,0 ,140 ,0 ,0 ,0 ,0 ,Fastfood
Pickles,0 ,0 ,0 ,0 ,0 ,115 ,0 ,0 ,0 ,0 ,Fastfood
Piri piri Mc Spicy Chicken Burger,443 ,17 ,4 ,0 ,64 ,,43 ,9 ,0 ,26 ,Fastfood
Piri piri Mc Spicy Veg Burger,518 ,25 ,6 ,0 ,8 ,1171 ,59 ,13 ,0 ,12 ,Fastfood
Piri Piri Mix,17 ,0 ,0 ,0 ,0 ,415 ,3 ,1 ,0 ,1 ,Fastfood
Pizza Puff,228 ,11 ,6 ,0 ,5 ,391 ,25 ,3 ,5 ,5 ,Fastfood
Pizza Sub,610 ,48 ,22 ,2 ,135 ,1830 ,18 ,5 ,8 ,30 ,Fastfood
pork dumpling,202 ,7 ,3 ,0 ,56 ,92 ,16 ,0 ,0 ,17 ,Fastfood
potato pancake,268 ,14 ,2 ,0 ,95 ,764 ,28 ,2 ,3 ,6 ,Desserts
Premium Dark Hot Chocolate,214 ,6 ,4 ,0 ,15 ,68 ,33 ,26 ,0 ,6 ,Fastfood
Provolone,50 ,4 ,2 ,0 ,10 ,125 ,0 ,0 ,0 ,4 ,Fastfood
Puddings,108 ,2 ,1 ,0 ,12 ,97 ,18 ,12 ,0 ,3 ,Desserts
Pumpkin Patch Shake,820 ,44 ,26 ,0 ,250 ,970 ,87 ,3 ,81 ,21 ,Fastfood
Purple Cow Float,460 ,15 ,9 ,0 ,100 ,210 ,79 ,0 ,78 ,7 ,Fastfood
Ranch,70 ,8 ,2 ,0 ,5 ,140 ,1 ,0 ,1 ,0 ,Fastfood
Raw Mango Cooler,102 ,0 ,0 ,0 ,0 ,103 ,25 ,21 ,0 ,0 ,Fastfood
Red Onions,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,Fastfood
Red Wine Vinegar,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,Fastfood
Regular Blackforest,238 ,5 ,4 ,0 ,6 ,104 ,43 ,28 ,0 ,3 ,Fastfood
Regular Fries,470 ,22 ,5 ,0 ,15 ,740 ,63 ,7 ,1 ,6 ,Fastfood
Regular Fries,470 ,22 ,5 ,0 ,15 ,740 ,63 ,7 ,1 ,6 ,Fastfood
Regular Fries,225 ,10 ,5 ,0 ,1 ,153 ,27 ,0 ,0 ,3 ,Fastfood
Regular Mayonnaise,100 ,11 ,2 ,0 ,10 ,65 ,0 ,0 ,0 ,0 ,Fastfood
Regular McFlurry - Oreo,209 ,7 ,4 ,0 ,8 ,151 ,33 ,25 ,0 ,4 ,Fastfood
Regular Soft Serve: Brownie with Hot Fudge,205 ,5 ,4 ,0 ,6 ,101 ,35 ,21 ,0 ,3 ,Fastfood
Regular Soft Serve: Hot Fudge,122 ,4 ,3 ,0 ,6 ,66 ,19 ,17 ,0 ,2 ,Fastfood
Regular Soft Serve: Strawberry,101 ,2 ,1 ,0 ,5 ,35 ,20 ,18 ,0 ,2 ,Fastfood
Regular Wedges,205 ,7 ,3 ,0 ,1 ,356 ,29 ,0 ,1 ,4 ,Fastfood
Roadside Double Burger,770 ,46 ,20 ,2 ,175 ,2300 ,32 ,0 ,7 ,53 ,Fastfood
Roadside Double Burger,770 ,46 ,20 ,2 ,175 ,2300 ,32 ,0 ,7 ,53 ,Fastfood
Roast Beef,140 ,4 ,1 ,0 ,45 ,460 ,10 ,4 ,5 ,19 ,Fastfood
Roast Beef,280 ,5 ,2 ,0 ,45 ,630 ,40 ,6 ,7 ,25 ,Fastfood
Roast Beef,490 ,13 ,5 ,0 ,90 ,1560 ,53 ,4 ,4 ,42 ,Fastfood
Roast Beef,140 ,4 ,1 ,0 ,45 ,460 ,10 ,4 ,5 ,19 ,Fastfood
Roasted Garlic,210 ,3 ,0 ,0 ,0 ,1230 ,41 ,2 ,4 ,7 ,Fastfood
Root Beer Float,430 ,15 ,9 ,0 ,100 ,220 ,70 ,0 ,69 ,7 ,Fastfood
Rosemary & Sea Salt,220 ,3 ,1 ,0 ,0 ,490 ,40 ,2 ,3 ,7 ,Fastfood
Rotisserie-Style Chicken,310 ,6 ,3 ,0 ,55 ,520 ,40 ,5 ,7 ,28 ,Fastfood
Rotisserie-Style Chicken,550 ,16 ,7 ,0 ,115 ,1350 ,53 ,3 ,3 ,49 ,Fastfood
Rotisserie-Style Chicken,170 ,5 ,2 ,0 ,55 ,360 ,10 ,4 ,5 ,23 ,Fastfood
Salted Caramel Shake,840 ,42 ,26 ,0 ,260 ,950 ,99 ,0 ,96 ,17 ,Fastfood
Sausage Breakfast Sandwich,340 ,19 ,9 ,0 ,215 ,610 ,25 ,0 ,5 ,17 ,Fastfood
Sausage Breakfast Sandwich (Double Egg),430 ,25 ,11 ,0 ,400 ,700 ,25 ,0 ,5 ,23 ,Fastfood
Sausage Link,240 ,20 ,7 ,0 ,40 ,682 ,2 ,0 ,0 ,9 ,Fastfood
Sausage Mc Muffin,281 ,11 ,6 ,0 ,53 ,743 ,29 ,2 ,0 ,16 ,Fastfood
Sausage Mc Muffin with egg,281 ,11 ,6 ,0 ,53 ,743 ,29 ,2 ,0 ,16 ,Fastfood
Sausage Mc Muffin with egg,290 ,16 ,8 ,0 ,265 ,804 ,29 ,3 ,0 ,22 ,Fastfood
Savory Rotisserie-Style Chicken Caesar,640 ,29 ,11 ,0 ,115 ,1500 ,52 ,3 ,3 ,47 ,Fastfood
Shack Red (6 oz),150 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,Fastfood
Shack Red Bottle (750 ml),620 ,0 ,0 ,0 ,0 ,0 ,19 ,0 ,0 ,1 ,Fastfood
Shack Red Can (8.4 oz),210 ,0 ,0 ,0 ,0 ,10 ,6 ,0 ,0 ,0 ,Fastfood
Shack Rosé Can (8.4 oz),210 ,0 ,0 ,0 ,0 ,10 ,9 ,0 ,0 ,1 ,Fastfood
Shack Sparkling Can (8.4 oz),200 ,0 ,0 ,0 ,0 ,15 ,6 ,0 ,0 ,0 ,Fastfood
Shack Stack,770 ,45 ,18 ,2 ,125 ,1700 ,50 ,0 ,7 ,40 ,Fastfood
Shack Stack®,770 ,45 ,18 ,2 ,125 ,1700 ,50 ,0 ,7 ,40 ,Fastfood
Shack White (6 oz),140 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,Fastfood
Shack White Bottle (750 ml),600 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,0 ,1 ,Fastfood
Shack White Can (8.4 oz),200 ,0 ,0 ,0 ,0 ,10 ,5 ,0 ,0 ,0 ,Fastfood
SHACK2O,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,Fastfood
Shack-made Lemonade Large,270 ,0 ,0 ,0 ,0 ,15 ,70 ,0 ,66 ,0 ,Fastfood
Shack-made Lemonade Small,160 ,0 ,0 ,0 ,0 ,10 ,43 ,0 ,40 ,0 ,Fastfood
Shackmeister Cheddar Brat,690 ,51 ,21 ,1 ,95 ,1210 ,33 ,0 ,6 ,27 ,Fastfood
ShackSauce,60 ,6 ,1 ,0 ,10 ,60 ,0 ,0 ,0 ,0 ,Fastfood
Shredded Mozzarella,40 ,3 ,2 ,0 ,10 ,100 ,0 ,0 ,0 ,3 ,Fastfood
shrimp,78 ,3 ,1 ,0 ,36 ,375 ,5 ,2 ,1 ,6 ,Seafood
Single Cheeseburger,440 ,24 ,11 ,1 ,95 ,1200 ,25 ,0 ,5 ,29 ,Fastfood
Single Chocolate Cup,310 ,19 ,11 ,1 ,110 ,120 ,32 ,0 ,29 ,6 ,Fastfood
Single Hamburger,370 ,18 ,8 ,1 ,75 ,850 ,24 ,0 ,5 ,25 ,Fastfood
Single ShackBurger®,500 ,30 ,12 ,1 ,105 ,1250 ,26 ,0 ,6 ,29 ,Fastfood
Single SmokeShack™,570 ,35 ,13 ,1 ,120 ,2010 ,28 ,0 ,7 ,36 ,Fastfood
Single Vanilla & Chocolate Cup,290 ,17 ,10 ,0 ,105 ,150 ,31 ,0 ,29 ,6 ,Fastfood
Single Vanilla Cup,280 ,15 ,9 ,0 ,100 ,180 ,30 ,0 ,30 ,7 ,Fastfood
"Slap Shot Burger, Double",680 ,40 ,15 ,2 ,145 ,1840 ,33 ,0 ,6 ,47 ,Fastfood
"Slap Shot Burger, Single",490 ,27 ,10 ,1 ,80 ,1150 ,33 ,0 ,6 ,28 ,Fastfood
Small Coca-Cola,110 ,0 ,0 ,0 ,0 ,21 ,27 ,27 ,0 ,0 ,Fastfood
Small Fanta Oragne,129 ,0 ,0 ,0 ,0 ,56 ,32 ,32 ,0 ,0 ,Fastfood
Small McFlurry - Oreo,116 ,4 ,2 ,0 ,5 ,81 ,19 ,14 ,0 ,2 ,Fastfood
Small Sprite,120 ,0 ,0 ,0 ,0 ,2 ,30 ,30 ,0 ,0 ,Fastfood
Small Thums-up,100 ,0 ,0 ,0 ,0 ,25 ,25 ,25 ,0 ,0 ,Fastfood
smoke sausage,159 ,6 ,1 ,0 ,2 ,670 ,7 ,1 ,4 ,19 ,Meat
Soft serve cone,86 ,2 ,1 ,0 ,5 ,41 ,15 ,11 ,0 ,2 ,Fastfood
sour pork,540 ,27 ,5 ,0 ,48 ,608 ,47 ,21 ,2 ,18 ,Meat
Southwest Chipotle Chicken Club,780 ,53 ,15 ,1 ,180 ,1750 ,25 ,11 ,11 ,54 ,Fastfood
Spicy Brown Mustard,15 ,1 ,0 ,0 ,0 ,260 ,1 ,0 ,0 ,0 ,Fastfood
Spicy Chicken Wrap,567 ,27 ,13 ,0 ,88 ,1152 ,57 ,3 ,8 ,24 ,Fastfood
Spicy Chicken Wrap,567 ,27 ,13 ,0 ,88 ,1152 ,57 ,3 ,8 ,24 ,Fastfood
Spicy Egg McMuffin,278 ,12 ,3 ,0 ,213 ,774 ,31 ,3 ,0 ,11 ,Fastfood
Spicy Italian,450 ,24 ,9 ,0 ,60 ,1240 ,40 ,3 ,5 ,18 ,Fastfood
Spicy Italian,820 ,52 ,20 ,1 ,125 ,2580 ,57 ,4 ,3 ,31 ,Fastfood
Spicy Italian,550 ,45 ,17 ,1 ,125 ,1910 ,12 ,3 ,4 ,24 ,Fastfood
Spicy Italian,300 ,23 ,8 ,0 ,60 ,1000 ,12 ,4 ,5 ,14 ,Fastfood
Spicy Paneer Wrap,675 ,39 ,20 ,0 ,41 ,1087 ,59 ,4 ,6 ,21 ,Fastfood
Spinach,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,Fastfood
Spinach Wrap,290 ,8 ,4 ,0 ,0 ,780 ,48 ,2 ,1 ,8 ,Fastfood
Sprite Float,145 ,2 ,1 ,0 ,5 ,47 ,31 ,30 ,0 ,2 ,Fastfood
Sprite Large,240 ,0 ,0 ,0 ,0 ,55 ,60 ,0 ,53 ,0 ,Fastfood
Sprite Small,140 ,0 ,0 ,0 ,0 ,30 ,36 ,0 ,32 ,0 ,Fastfood
Steak & Cheese,370 ,19 ,10 ,1 ,105 ,1320 ,15 ,3 ,7 ,36 ,Fastfood
Steak & Cheese,200 ,9 ,5 ,0 ,50 ,830 ,13 ,4 ,7 ,19 ,Fastfood
Steak Cheese,340 ,10 ,5 ,0 ,50 ,1060 ,39 ,2 ,5 ,22 ,Fastfood
Steak Cheese Fresh Melt,520 ,29 ,11 ,1 ,80 ,1550 ,41 ,2 ,6 ,26 ,Fastfood
Steak Club,440 ,26 ,11 ,1 ,115 ,1520 ,13 ,3 ,7 ,39 ,Fastfood
Steak Club Salad,480 ,25 ,10 ,1 ,120 ,2090 ,21 ,6 ,10 ,45 ,Fastfood
Steak Fiesta Signature Wrap,470 ,15 ,5 ,0 ,55 ,1370 ,56 ,1 ,3 ,28 ,Fastfood
"Steak, Egg & Cheese",450 ,18 ,6 ,1 ,195 ,1270 ,48 ,4 ,5 ,28 ,Fastfood
Strawberry Green Tea,8 ,0 ,0 ,0 ,3 ,17 ,3 ,2 ,0 ,1 ,Beverages
Strawberry Green Tea (L),11 ,0 ,0 ,0 ,5 ,24 ,5 ,2 ,0 ,1 ,Fastfood
Strawberry Green Tea (R),8 ,0 ,0 ,0 ,3 ,17 ,3 ,2 ,0 ,1 ,Fastfood
Strawberry Green Tea (S),7 ,0 ,0 ,0 ,3 ,15 ,3 ,1 ,0 ,0 ,Fastfood
Strawberry Ice Tea,95 ,0 ,0 ,0 ,2 ,10 ,24 ,21 ,0 ,0 ,Fastfood
Strawberry Shake,690 ,35 ,21 ,0 ,230 ,430 ,77 ,0 ,75 ,17 ,Fastfood
Strawberry Shake,256 ,7 ,7 ,0 ,8 ,140 ,44 ,37 ,0 ,4 ,Fastfood
strawberry yogurt,160 ,2 ,1 ,0 ,9 ,123 ,26 ,10 ,2 ,9 ,Beverages
Subway Club,280 ,4 ,2 ,0 ,45 ,800 ,41 ,5 ,7 ,25 ,Fastfood
Subway Club®,500 ,12 ,5 ,0 ,85 ,1900 ,56 ,4 ,5 ,42 ,Fastfood
Subway Club®,140 ,3 ,1 ,0 ,45 ,630 ,11 ,4 ,6 ,19 ,Fastfood
Subway Melt,380 ,13 ,5 ,0 ,55 ,1250 ,41 ,2 ,6 ,25 ,Fastfood
Subway Melt,380 ,13 ,5 ,0 ,55 ,1250 ,41 ,2 ,6 ,25 ,Fastfood
Subway Melt®,630 ,25 ,10 ,0 ,100 ,2400 ,58 ,3 ,6 ,43 ,Fastfood
Subway Melt®,430 ,24 ,10 ,1 ,120 ,1700 ,14 ,3 ,7 ,41 ,Fastfood
Subway Melt®,460 ,23 ,9 ,0 ,110 ,2030 ,26 ,8 ,13 ,42 ,Fastfood
Subway Seafood Sensation™,700 ,41 ,9 ,0 ,35 ,1790 ,67 ,4 ,7 ,18 ,Fastfood
Subway® Vinaigrette,35 ,4 ,1 ,0 ,0 ,110 ,1 ,0 ,1 ,0 ,Fastfood
Sweet Corn,45 ,1 ,0 ,0 ,2 ,0 ,8 ,3 ,0 ,1 ,Fastfood
Sweet Lime Beverage,128 ,0 ,0 ,0 ,0 ,66 ,32 ,29 ,0 ,0 ,Fastfood
Sweet Onion Chicken Teriyaki,320 ,4 ,1 ,0 ,50 ,720 ,52 ,5 ,16 ,25 ,Fastfood
Sweet Onion Chicken Teriyaki,320 ,4 ,1 ,0 ,50 ,720 ,52 ,5 ,16 ,25 ,Fastfood
Sweet Onion Chicken Teriyaki,540 ,12 ,5 ,0 ,95 ,1610 ,70 ,4 ,14 ,42 ,Fastfood
Sweet Onion Chicken Teriyaki,300 ,5 ,2 ,0 ,95 ,1020 ,33 ,3 ,22 ,34 ,Fastfood
Sweet Onion Chicken Teriyaki,210 ,3 ,1 ,0 ,50 ,630 ,30 ,4 ,20 ,19 ,Fastfood
Sweet Onion Sauce,30 ,0 ,0 ,0 ,0 ,75 ,8 ,0 ,7 ,0 ,Fastfood
Swiss,50 ,5 ,3 ,0 ,15 ,30 ,0 ,0 ,0 ,4 ,Fastfood
tacco,282 ,12 ,5 ,0 ,130 ,642 ,23 ,3 ,0 ,16 ,Fastfood
The Bacon Tatum,470 ,25 ,5 ,0 ,55 ,1320 ,37 ,2 ,4 ,24 ,Fastfood
The Bacon Tatum,470 ,25 ,5 ,0 ,55 ,1320 ,37 ,2 ,4 ,24 ,Fastfood
The DrayPotle Steak,410 ,17 ,6 ,1 ,55 ,1230 ,40 ,2 ,6 ,24 ,Fastfood
The DrayPotle Steak,410 ,17 ,6 ,1 ,55 ,1230 ,40 ,2 ,6 ,24 ,Fastfood
Tomato,5 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,Fastfood
Tomato,5 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,Fastfood
