Food_items,Calories,Total fat (g),Sat Fat (g),Trans fat (g),Cholesterols (mg),Sodium (mg),Carbohydrate (g),Sugars (g),Fiber(g),Protein (g),Category
"Brat Burger, Single",860 ,61 ,20 ,1 ,140 ,1850 ,34 ,0 ,6 ,44 ,Fastfood
Brooklyn Brewery ShackMeister Ale (16oz. Draft),210 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,0 ,2 ,Fastfood
Brooklyn Brewery ShackMeister Ale (24oz. Draft),310 ,0 ,0 ,0 ,0 ,0 ,25 ,0 ,0 ,4 ,Fastfood
Brooklyn Brewery ShackMeister Ale (32oz. Draft),420 ,0 ,0 ,0 ,0 ,0 ,33 ,0 ,0 ,5 ,Fastfood
Brooklyn Brewery ShackMeister Ale (60oz. Draft),780 ,0 ,0 ,0 ,0 ,0 ,62 ,0 ,0 ,9 ,Fastfood
Buffalo Chicken,360 ,12 ,2 ,0 ,55 ,7710 ,39 ,3 ,5 ,24 ,Fastfood
Buffalo Chicken,370 ,20 ,4 ,0 ,110 ,14860 ,13 ,3 ,7 ,35 ,Fastfood
Buffalo Chicken,220 ,11 ,2 ,0 ,55 ,7470 ,12 ,4 ,6 ,20 ,Fastfood
Burger Patty,190 ,12 ,5 ,1 ,65 ,690 ,0 ,0 ,0 ,19 ,Fastfood
butter crossiant,406 ,18 ,12 ,0 ,67 ,467 ,46 ,11 ,3 ,8 ,Desserts
Caesar,80 ,9 ,2 ,0 ,5 ,130 ,0 ,0 ,0 ,0 ,Fastfood
Caesar Chicken,470 ,31 ,10 ,1 ,140 ,920 ,10 ,3 ,6 ,42 ,Fastfood
cake,258 ,1 ,0 ,0 ,0 ,749 ,58 ,30 ,2 ,6 ,Desserts
Cappuccino,184 ,10 ,7 ,0 ,30 ,129 ,17 ,12 ,0 ,9 ,Beverages
Cappuccino (L),219 ,12 ,9 ,0 ,37 ,155 ,20 ,14 ,0 ,11 ,Fastfood
Cappuccino (R),184 ,10 ,7 ,0 ,30 ,129 ,17 ,12 ,0 ,9 ,Fastfood
Cappuccino (S),125 ,7 ,5 ,0 ,21 ,90 ,11 ,8 ,0 ,6 ,Fastfood
Cheddar,60 ,5 ,3 ,0 ,15 ,90 ,0 ,0 ,0 ,4 ,Fastfood
Cheese Fries,710 ,44 ,19 ,0 ,95 ,1020 ,64 ,7 ,1 ,12 ,Fastfood
Cheese Lava Burger,671 ,33 ,14 ,0 ,33 ,1154 ,74 ,16 ,0 ,15 ,Fastfood
Cheese Slice,51 ,4 ,3 ,0 ,13 ,179 ,1 ,1 ,0 ,3 ,Fastfood
Cheesy Veg Nuggets (6pc),252 ,13 ,8 ,0 ,20 ,428 ,24 ,1 ,0 ,8 ,Fastfood
Cheesy Veg Nuggets (9pc),378 ,20 ,11 ,0 ,30 ,642 ,35 ,2 ,0 ,13 ,Fastfood
Cherry Peppers,10 ,0 ,0 ,0 ,0 ,470 ,2 ,0 ,2 ,0 ,Fastfood
Chicken & Bacon Ranch,800 ,39 ,15 ,1 ,170 ,1970 ,56 ,4 ,5 ,59 ,Fastfood
Chicken & Bacon Ranch,530 ,26 ,10 ,1 ,100 ,1100 ,41 ,3 ,6 ,36 ,Fastfood
Chicken & Bacon Ranch,800 ,39 ,15 ,1 ,170 ,1970 ,56 ,4 ,5 ,59 ,Fastfood
Chicken & Bacon Ranch,600 ,40 ,13 ,1 ,175 ,1450 ,12 ,3 ,8 ,52 ,Fastfood
Chicken & Bacon Ranch,460 ,33 ,11 ,1 ,105 ,1000 ,13 ,4 ,7 ,32 ,Fastfood
Chicken Bites (10 piece),510 ,32 ,6 ,0 ,85 ,1300 ,26 ,0 ,2 ,29 ,Fastfood
Chicken Bites (6 piece),300 ,19 ,4 ,0 ,50 ,780 ,15 ,0 ,1 ,17 ,Fastfood
Chicken Caesar,610 ,25 ,9 ,0 ,120 ,1450 ,52 ,3 ,4 ,46 ,Fastfood
Chicken Cheese Lava Burger,834 ,45 ,17 ,0 ,73 ,1745 ,76 ,17 ,0 ,27 ,Fastfood
Chicken Kebab Burger,357 ,14 ,5 ,0 ,2 ,549 ,48 ,5 ,0 ,9 ,Fastfood
Chicken Kebab Burger,357 ,14 ,5 ,0 ,2 ,549 ,48 ,5 ,0 ,9 ,Fastfood
Chicken Maharaja Mac,689 ,37 ,10 ,0 ,81 ,1855 ,55 ,9 ,1 ,34 ,Fastfood
Chicken Mango Curry,330 ,7 ,2 ,0 ,50 ,840 ,43 ,3 ,9 ,24 ,Fastfood
Chicken Pizziola,500 ,28 ,12 ,1 ,165 ,1490 ,17 ,4 ,10 ,49 ,Fastfood
Chicken Shack™,550 ,31 ,7 ,0 ,110 ,1170 ,34 ,0 ,6 ,33 ,Fastfood
Chicken Tikka,290 ,5 ,1 ,0 ,50 ,720 ,39 ,2 ,6 ,23 ,Fastfood
Chicken Vindaloo,340 ,9 ,1 ,0 ,50 ,880 ,42 ,3 ,7 ,24 ,Fastfood
Chilli Sauce,8 ,0 ,0 ,0 ,0 ,65 ,2 ,2 ,0 ,0 ,Fastfood
chinese_fried_rice,348 ,5 ,1 ,0 ,36 ,774 ,66 ,1 ,2 ,8 ,Fastfood
Chipotle Southwest,60 ,7 ,1 ,0 ,5 ,110 ,1 ,0 ,1 ,0 ,Fastfood
Chipotle Southwest Steak & Cheese,710 ,33 ,12 ,1 ,95 ,2170 ,63 ,7 ,7 ,41 ,Fastfood
Choco Salted Toffee Shake,920 ,47 ,28 ,2 ,260 ,770 ,111 ,4 ,97 ,21 ,Fastfood
Chocolate Oreo Frappe,481 ,19 ,16 ,0 ,9 ,333 ,73 ,55 ,0 ,6 ,Fastfood
Chocolate Shake,750 ,45 ,27 ,2 ,255 ,310 ,76 ,0 ,0 ,16 ,Fastfood
Chocolate Shake,750 ,45 ,27 ,2 ,255 ,310 ,76 ,0 ,69 ,16 ,Fastfood
Chocolate Shake,271 ,8 ,7 ,0 ,8 ,178 ,47 ,38 ,0 ,4 ,Fastfood
Chunky Chipotle American Burger Chicken,641 ,32 ,10 ,0 ,110 ,1906 ,46 ,9 ,0 ,39 ,Fastfood
Coke Float,139 ,2 ,1 ,0 ,5 ,45 ,29 ,28 ,0 ,2 ,Fastfood
Coke Large,210 ,0 ,0 ,0 ,0 ,65 ,58 ,0 ,58 ,0 ,Fastfood
Coke Small,140 ,0 ,0 ,0 ,0 ,45 ,39 ,0 ,39 ,0 ,Fastfood
Coke Zero Can,1 ,0 ,0 ,0 ,0 ,25 ,0 ,0 ,0 ,0 ,Fastfood
Coke Zero Large,0 ,0 ,0 ,0 ,0 ,60 ,0 ,0 ,0 ,0 ,Fastfood
Coke Zero Small,0 ,0 ,0 ,0 ,0 ,40 ,0 ,0 ,0 ,0 ,Fastfood
Cold Coffee Frappe,331 ,15 ,14 ,0 ,9 ,189 ,45 ,36 ,0 ,5 ,Fastfood
Cold Cut Combo,160 ,9 ,2 ,0 ,45 ,700 ,10 ,4 ,5 ,12 ,Vegetables
Cold Cut Combo,310 ,10 ,2 ,0 ,45 ,930 ,38 ,2 ,5 ,16 ,Fastfood
Cold Cut Combo,530 ,24 ,7 ,0 ,95 ,1970 ,54 ,3 ,4 ,27 ,Fastfood
Cold Cut Combo,260 ,16 ,4 ,0 ,95 ,1310 ,9 ,3 ,5 ,20 ,Fastfood
Cold Cut Combo,160 ,9 ,2 ,0 ,45 ,700 ,10 ,4 ,5 ,12 ,Fastfood
Cookies & Cream Shake,850 ,44 ,24 ,0 ,235 ,580 ,98 ,0 ,86 ,19 ,Fastfood
cream potatoes soup,74 ,2 ,1 ,0 ,1 ,604 ,13 ,1 ,1 ,2 ,Soups
Creamsicle® Float,440 ,15 ,9 ,0 ,100 ,240 ,75 ,0 ,74 ,7 ,Fastfood
Cripsy Cauliflower Ranch Signature Wrap,830 ,35 ,8 ,0 ,5 ,2440 ,114 ,7 ,5 ,15 ,Fastfood
Crispy Shallots,110 ,8 ,2 ,0 ,0 ,95 ,7 ,0 ,0 ,1 ,Fastfood
Crispy Shallots,110 ,8 ,2 ,0 ,0 ,95 ,7 ,0 ,0 ,1 ,Fastfood
Crush Large,240 ,0 ,0 ,0 ,0 ,110 ,65 ,0 ,64 ,0 ,Fastfood
Crush Small,160 ,0 ,0 ,0 ,0 ,70 ,43 ,0 ,43 ,0 ,Fastfood
Cucumbers,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,Fastfood
"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",194 ,12 ,11 ,0 ,10 ,66 ,17 ,17 ,0 ,4 ,Desserts
"DESSERT TOPPING,POWDERED",577 ,38 ,37 ,0 ,0 ,122 ,53 ,53 ,0 ,5 ,Desserts
"DESSERT TOPPING,PRESSURIZED",264 ,21 ,19 ,0 ,0 ,62 ,16 ,16 ,0 ,1 ,Desserts
"DESSERT TOPPING,SEMI SOLID,FRZ",318 ,24 ,22 ,0 ,0 ,25 ,23 ,23 ,0 ,1 ,Desserts
Diet Coke Large,0 ,0 ,0 ,0 ,0 ,60 ,0 ,0 ,0 ,0 ,Fastfood
Diet Coke Small,0 ,0 ,0 ,0 ,0 ,40 ,0 ,0 ,0 ,0 ,Fastfood
Diet Dr. Pepper Large,0 ,0 ,0 ,0 ,0 ,90 ,0 ,0 ,0 ,0 ,Fastfood
Diet Dr. Pepper Small,0 ,0 ,0 ,0 ,0 ,60 ,0 ,0 ,0 ,0 ,Fastfood
Diet Mountain Dew Large,10 ,0 ,0 ,0 ,0 ,75 ,1 ,0 ,1 ,0 ,Fastfood
Diet Mountain Dew Small,5 ,0 ,0 ,0 ,0 ,50 ,1 ,0 ,1 ,0 ,Fastfood
Diet Pepsi Large,0 ,0 ,0 ,0 ,0 ,55 ,0 ,0 ,0 ,0 ,Fastfood
Diet Pepsi Small,0 ,0 ,0 ,0 ,0 ,35 ,0 ,0 ,0 ,0 ,Fastfood
Double Cheese McMuffin,274 ,13 ,9 ,0 ,38 ,623 ,29 ,3 ,0 ,10 ,Fastfood
Double Cheeseburger,700 ,42 ,20 ,2 ,175 ,2220 ,25 ,0 ,5 ,51 ,Fastfood
Double Chocochips Muffin,342 ,17 ,7 ,0 ,16 ,313 ,40 ,29 ,0 ,5 ,Fastfood
Double Chocolate Cup,490 ,30 ,18 ,1 ,175 ,190 ,51 ,0 ,47 ,9 ,Fastfood
Double Dark Hot Chocolate,256 ,6 ,4 ,0 ,15 ,70 ,41 ,32 ,0 ,7 ,Fastfood
Double Down Fries,1910 ,117 ,49 ,1 ,270 ,4020 ,164 ,16 ,5 ,41 ,Fastfood
Double Hamburger,560 ,30 ,12 ,2 ,140 ,1540 ,24 ,0 ,5 ,44 ,Fastfood
Double ShackBurger®,760 ,48 ,20 ,2 ,185 ,2280 ,27 ,0 ,6 ,51 ,Fastfood
Double SmokeShack™,830 ,53 ,22 ,2 ,200 ,3030 ,28 ,0 ,7 ,58 ,Fastfood
Double SmokeShack™,830 ,53 ,22 ,2 ,200 ,3030 ,28 ,0 ,7 ,58 ,Fastfood
Double Vanilla & Chocolate Cup,470 ,27 ,16 ,0 ,170 ,230 ,50 ,0 ,47 ,10 ,Fastfood
Double Vanilla Cup,450 ,24 ,14 ,0 ,165 ,280 ,49 ,0 ,48 ,11 ,Fastfood
Dr. Pepper Large,220 ,0 ,0 ,0 ,0 ,90 ,59 ,0 ,58 ,0 ,Fastfood
Dr. Pepper Small,150 ,0 ,0 ,0 ,0 ,60 ,40 ,0 ,38 ,0 ,Fastfood
Egg & Cheese,390 ,15 ,5 ,0 ,170 ,950 ,46 ,4 ,3 ,19 ,Fastfood
Egg and Cheese Breakfast Sandwich,530 ,32 ,14 ,0 ,260 ,1220 ,28 ,0 ,8 ,30 ,Fastfood
